,Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
288,Roy D. Bridges Jr.,1980,9,Retired,19-07-1943,"Atlanta, GA",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Major General,US Air Force (Retired),1,190,0,0,STS 51-F (Challenger),NaN,NaN
289,Russell L. Schweickart,1963,3,Retired,25-10-1935,"Neptune, NJ",Male,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,Major General,US Air Force (Retired),1,241,1,1,Apollo 9,NaN,NaN
290,S. Christa McAuliffe,1963,3,Deceased,2/9/48,"Boston, MA",Female,Framingham State College; Bowie State College,Education,Education,Major General,US Air Force (Retired),1,0,0,0,STS 51-L (Challenger),28-01-1986,STS 51-L (Challenger)
291,S. David Griggs,1978,8,Deceased,7/9/39,"Portland, OR",Male,US Naval Academy; George Washington University,Education,Business Administration,Major General,US Air Force (Retired),1,167,1,3,STS 51-D (Discovery),17-06-1989,car accident
292,Sally K. Ride,1978,8,Deceased,26-05-1951,"Los Angeles, CA",Female,Stanford University,Physics; English,Physics,Major General,US Air Force (Retired),2,343,0,0,"STS-7 (Challenger), STS 41-G (Challenger)",23-07-2012,Pancreatic cancer
293,Samuel T. Durrance,1978,8,Retired,17-09-1943,"Tallahassee, FL",Male,California State University; University of Col...,Physics,Physics; Astrogeophysics,Major General,US Air Force (Retired),2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)",NaN,NaN
294,Sandra H. Magnus,1996,16,Retired,30-10-1964,"Belleville, IL",Female,University of Missouri-Rolla; Georgia Institut...,Physics,Electrical Engineering; Materials Science & En...,Major General,US Air Force (Retired),3,3776,0,0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Disc...",NaN,NaN
295,Scott D. Altman,1995,15,Retired,15-08-1959,"Lincoln, IL",Male,University of Illinois; US Naval Postgraduate ...,Aeronautical & Astronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1236,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109...",NaN,NaN
296,Scott D. Tingle,2009,20,Active,19-07-1965,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue ...,Mechanical Engineering,Mechanical Engineering,Commander,US Navy,0,0,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109...",NaN,NaN
297,Scott E. Parazynski,1992,14,Retired,28-07-1961,"Little Rock, AR",Male,Stanford University,Biology,Medicine,Commander,US Navy,5,1404,7,47,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (...",NaN,NaN
298,Scott J. Horowitz,1992,14,Retired,24-03-1957,"Philadelphia, PA",Male,California State University-Northridge; Georgi...,Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101...",NaN,NaN
299,Scott J. Kelly,1996,16,Active,21-02-1964,"Orange, NJ",Male,State University of New York Maritime College;...,Electrical Engineering,Aviation Systems,Captain,US Navy (Retired),4,12490,3,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-2...",NaN,NaN
300,Serena M. Aunon,2009,20,Active,9/4/76,"Indianapolis, IN",Female,George Washington University; University of Texas,Electrical Engineering,Medicine,Captain,US Navy (Retired),0,0,0,0,"STS-103 (Discovery), STS-118 (Endeavor), ISS-2...",NaN,NaN
301,Shannon W. Lucid,1978,8,Retired,14-01-1943,"Shanghai, China",Female,University of Oklahoma,Chemistry,Biochemistry,Captain,US Navy (Retired),5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-4...",NaN,NaN
302,Shannon Walker,2004,19,Active,4/6/65,"Houston, TX",Female,Rice University,Space Physics,Space Physics,Captain,US Navy (Retired),1,3919,0,0,ISS-24/25 (Soyuz),NaN,NaN
303,Sherwood C. Spring,1980,9,Retired,23-09-1944,"Hartford, CT",Male,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,Colonel,US Army (Retired),1,165,2,12,STS 61-B (Atlantis),NaN,NaN
304,Sidney M. Gutierrez,1984,10,Retired,27-06-1951,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,488,0,0,"STS-40 (Columbia), STS-59 (Endeavor)",NaN,NaN
305,Stanley G. Love,1998,17,Management,8/6/65,"San Diego, CA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,Colonel,US Air Force (Retired),1,306,2,15,STS-122 (Atlantis),NaN,NaN
306,Stephanie D. Wilson,1996,16,Active,27-09-1966,"Boston, MA",Female,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,Colonel,US Air Force (Retired),3,1031,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-...",NaN,NaN
307,Stephen D. Thorne,1985,11,Deceased,11/2/53,"Frankfurt, West Germany",Male,US Naval Academy,Engineering,Aerospace Engineering,Lieutenant Commander,US Navy,0,0,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-...",24-05-1986,NaN
308,Stephen G. Bowen,2000,18,Active,13-02-1964,"Cohasset, MA",Male,US Naval Academy; MIT,Electrical Engineering,Ocean Engineering,Captain,US Navy,3,970,7,47,"STS-126 (Endeavor), STS-132 (Atlantis), STS-13...",NaN,NaN
309,Stephen K. Robinson,1995,15,Retired,26-10-1955,"Sacramento, CA",Male,University of California-Davis; Stanford Unive...,Mechanical & Aeronautical Engineering,Mechanical Engineering,Captain,US Navy,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-11...",NaN,NaN
310,Stephen N. Frick,1996,16,Management,30-09-1961,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)",NaN,NaN
311,Stephen S. Oswald,1985,11,Retired,30-06-1951,"Seattle, WA",Male,US Naval Academy,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,814,0,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67...",NaN,NaN
312,Steven A. Hawley,1978,8,Retired,12/12/51,"Ottawa, KS",Male,University of Kansas; University of California,Physics & Astronomy,Astronomy & Astrophysics,Captain,US Navy (Retired),5,770,0,0,"STS 41-D (Discovery), STS 61-C (Columbia), STS...",NaN,NaN
313,Steven L. Smith,1992,14,Management,30-12-1958,"Phoenix, AZ",Male,Stanford University,Electrical Engineering,Electrical Engineering,Captain,US Navy (Retired),4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103...",NaN,NaN
314,Steven R. Nagel,1978,8,Retired,27-10-1946,"Canton, IL",Male,University of Illinois; California State Unive...,Aerospace Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), S...",NaN,NaN
315,Steven R. Swanson,1998,17,Active,3/12/60,"Syracuse, NY",Male,University of Colorado; Florida Atlantic Unive...,Engineering Physics,Computer Systems; Computer Science,Colonel,US Air Force (Retired),3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-3...",NaN,NaN
316,Steven W. Lindsey,1995,15,Retired,24-08-1960,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute o...,Engineering Science,Aeronautical Engineering,Colonel,US Air Force (Retired),5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104...",NaN,NaN
317,Story Musgrave,1967,6,Retired,19-08-1935,"Boston, MA",Male,Syracuse University; Marietta College; Univers...,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literatur...,Colonel,US Air Force (Retired),6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS...",NaN,NaN
318,Stuart A. Roosa,1966,5,Deceased,16-08-1933,"Durango, CO",Male,University of Colorado,Aeronautical Engineering,Business Administration; Physiology; Literatur...,Colonel,US Air Force (Retired),1,216,0,0,Apollo 14,12/12/94,Natural causes
319,Sunita L. Williams,1998,17,Active,19-09-1965,"Euclid, OH",Female,US Naval Academy; Florida Institute of Technology,Physical Science,Engineering Management,Captain,US Navy,2,7721,7,50,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (S...",NaN,NaN
320,Susan J. Helms,1990,13,Retired,26-02-1958,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 ...",NaN,NaN
321,Susan L. Kilrain (Still),1995,15,Retired,24-10-1961,"Augusta, GA",Female,Embry-Riddle University; Georgia Institute of ...,Astronautical Engineering,Aerospace Engineering,Commander,US Navy (Retired),2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)",NaN,NaN
322,Tamara E. Jernigan,1985,11,Retired,7/5/59,"Chattanooga, TN",Female,Stanford University; University of California-...,Physics,Engineering Science; Astronomy,Commander,US Navy (Retired),5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (...",NaN,NaN
323,Taylor G. Wang,1985,11,Retired,16-06-1940,"Jiangxi, China",Male,University of California at Los Angeles,Physics,Physics,Commander,US Navy (Retired),1,168,0,0,STS 51-B (Challenger),NaN,NaN
324,Terence T. Henricks,1985,11,Retired,5/7/52,"Bryan, OH",Male,US Air Force Academy; Golden Gate University,Civil Engineering,Public Administration,Colonel,US Air Force (Retired),4,1026,0,0,"STS-44 (Atlantis), STS-55 (Columbia), STS-70 (...",NaN,NaN
325,Terrence W. Wilcutt,1990,13,Management,31-10-1949,"Russellville, KY",Male,Western Kentucky University,Mathematics,Public Administration,Colonel,US Air Force (Retired),4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (...",NaN,NaN
326,Terry J. Hart,1978,8,Retired,27-10-1946,"Pittsburgh, PA",Male,Lehigh University; MIT; Rutgers University,Mechanical Engineering,Mechanical Engineering; Electrical Engineering,Colonel,US Air Force (Retired),1,167,0,0,STS 41-C (Challenger),NaN,NaN
327,Terry W. Virts Jr.,2000,18,Active,1/12/67,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautica...,Mathematics,Aeronautics,Colonel,US Air Force,2,5122,3,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",NaN,NaN
328,Theodore C. Freeman,1963,3,Deceased,18-02-1930,"Haversford, PA",Male,US Naval Academy; University of Michigan,Mathematics,Aeronautical Engineering,Captain,US Air Force,0,0,0,0,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",31-10-1964,T-38 jet aircraft
329,Thomas D. Akers,1987,12,Retired,20-05-1951,"St. Louis, MO",Male,University of Missouri-Rolla,Applied Mathematics,Applied Mathematics,Colonel,US Air Force (Retired),4,814,4,29,"STS-41 (Discovery), STS-49 (Endeavor), STS-61 ...",NaN,NaN
330,Thomas D. Jones,1990,13,Retired,22-01-1955,"Baltimore, MD",Male,US Air Force Academy; University of Arizona,Applied Mathematics,Planetary Science,Colonel,US Air Force (Retired),4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (...",NaN,NaN
331,Thomas H. Marshburn,2004,19,Active,29-08-1960,"Statesville, NC",Male,Davidson College; University of Virginia; Wake...,Physics,Engineering Physics; Medicine; Medical Science,Colonel,US Air Force (Retired),2,3871,4,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)",NaN,NaN
332,Thomas J. Hennen,2004,19,Retired,17-08-1952,"Albany, GA",Male,NaN,Physics,Engineering Physics; Medicine; Medical Science,Chief Warrant Officer,US Army (Retired),1,166,0,0,STS-44 (Atlantis),NaN,NaN
333,Thomas K. Mattingly II,1966,5,Retired,17-03-1936,"Chicago, IL",Male,Auburn University,Aeronautical Engineering,Engineering Physics; Medicine; Medical Science,Rear Admiral,US Navy (Retired),3,508,1,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)",NaN,NaN
334,Thomas P. Stafford,1962,2,Retired,17-09-1930,"Weatherford, OK",Male,US Naval Academy,Aeronautical Engineering,Engineering Physics; Medicine; Medical Science,Lieutenant General,US Air Force (Retired),4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Te...",NaN,NaN
335,Timothy J. Creamer,1998,17,Management,15-11-1959,"Ft. Huachuca, AZ",Male,Loyola College; MIT,Chemistry,Physics,Colonel,US Army (Retired),1,3917,0,0,ISS-22/23 (Soyuz),NaN,NaN
336,Timothy L. Kopra,2000,18,Active,9/4/63,"Austin, TX",Male,US Military Academy; Georgia Institute of Tech...,Computer Science,Aerospace Engineering; Strategic Studies,Colonel,US Army (Retired),2,5857,3,13,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (S...",NaN,NaN
337,Tracy E. Caldwell (Dyson),1998,17,Active,14-08-1969,"Arcadia, CA",Female,California State University-Fullerton; Univers...,Chemistry,Physical Chemistry,Colonel,US Army (Retired),2,4531,3,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",NaN,NaN
338,Vance D. Brand,1966,5,Retired,9/5/31,"Longmont, CA",Male,University of Colorado; University of Californ...,Business Management; Aeronautical Engineering,Business Administration,Colonel,US Marine Corps Reserves,4,752,0,0,"Apollo-Soyuz Test Project, STS-5 (Columbia), S...",NaN,NaN
339,Virgil I. Grissom,1959,1,Deceased,3/4/26,"Mitchell, IN",Male,Purdue University,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Air Force,2,5,0,0,"Mercury 4, Gemini 3, Apollo 1",27-01-1967,Apollo 1
340,Walter Cunningham,1963,3,Retired,16-03-1932,"Creston, IA",Male,University of California-Los Angeles,Physics,Physics,Colonel,US Marine Corps Reserves,1,260,0,0,Apollo 7,NaN,NaN
341,Walter M. Schirra Jr.,1959,1,Deceased,12/3/23,"Hackensack, NJ",Male,US Naval Academy,Naval Sciences,Physics,Captain,US Navy (Retired),3,295,0,0,"Mercury 8, Gemini 6, Apollo 7",2/5/07,Natural causes
342,Wendy B. Lawrence,1992,14,Retired,2/7/59,"Jacksonville, FL",Female,US Naval Academy; MIT,Ocean Engineering,Ocean Engineering,Captain,US Navy (Retired),4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (...",NaN,NaN
343,William A. Anders,1963,3,Retired,17-10-1933,Hong Kong,Male,US Naval Academy; Air Force Institute of Techn...,Nuclear Engineering,Nuclear Engineering,Major General,US Air Force Reserves (Retired),1,147,0,0,Apollo 8,NaN,NaN
344,William A. Oefelein,1998,17,Retired,29-03-1965,"Ft. Belvoir, VA",Male,Oregon State University; University of Tennessee,Electrical Engineering,Aviation Systems,Commander,US Navy (Retired),1,308,0,0,STS-116 (Discovery),NaN,NaN
345,William A. Pailes,1998,17,Retired,26-06-1952,"Hackensack, NJ",Male,US Air Force Academy; Texas A&M University,Computer Science,Computer Science,Colonel,US Air Force (Retired),1,97,0,0,STS 51-J (Atlantis),NaN,NaN
346,William B. Lenoir,1967,6,Deceased,14-03-1939,"Miami, FL",Male,MIT,Electrical Engineering,Electrical Engineering,Colonel,US Air Force (Retired),1,122,0,0,STS-5 (Columbia),26-08-2010,Natural causes
347,William C. McCool,1996,16,Deceased,23-09-1961,"San Diego, CA",Male,US Naval Academy; University of Maryland; US N...,Naval Sciences,Computer Science; Aeronautical Engineering,Commander,US Navy,1,382,0,0,STS-107 (Columbia),1/2/03,STS-107 (Columbia)
348,William E. Thornton,1967,6,Retired,14-04-1929,"Faison, NC",Male,University of North Carolina,Physics,Medicine,Commander,US Navy,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)",NaN,NaN
349,William F. Fisher,1980,9,Retired,1/4/46,"Dallas, TX",Male,Stanford University; University of Houston; Un...,Physics,Engineering; Medicine,Commander,US Navy,1,170,2,12,STS 51-I (Discovery),NaN,NaN
350,William F. Readdy,1987,12,Retired,24-01-1952,"Quonset Point, RI",Male,US Naval Academy,Aerospace Engineering,Engineering; Medicine,Captain,US Navy (Retired),3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79...",NaN,NaN
351,William G. Gregory,1990,13,Retired,14-05-1957,"Lockport, NY",Male,US Air Force Academy; Columbia University; Tro...,Engineering Science,Engineering Mechanics; Business Management,Lieutenant Colonel,US Air Force,1,399,0,0,STS-67 (Endeavor),NaN,NaN
352,William M. Shepherd,1984,10,Retired,26-07-1949,"Oak Ridge, TN",Male,US Naval Academy; MIT,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 ...",NaN,NaN
353,William R. Pogue,1966,5,Retired,23-01-1930,"Okemah, OK",Male,Oklahoma Baptist University; Oklahoma State Un...,Education,Mathematics,Colonel,US Air Force (Retired),1,2017,2,13,Skylab 4,NaN,NaN
354,William S. McArthur Jr.,1990,3,Management,26-07-1951,"Laurinburg, NC",Male,US Military Academy; Georgia Institute of Tech...,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army (Retired),4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (...",NaN,NaN
355,Winston E. Scott,1992,14,Retired,6/8/50,"Miami, FL",Male,Florida State University; US Naval Postgraduat...,Music,Aeronautical Engineering,Captain,US Navy (Retired),2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)",NaN,NaN
356,Yvonne D. Cagle,1996,16,Management,24-04-1959,"West Point, NY",Female,San Francisco State University,Biochemistry,Aeronautical Engineering,Colonel,US Air Force,0,0,0,0,"STS-72 (Endeavor), STS-87 (Columbia)",NaN,NaN
Task 2: Exploring Data Completeness.,,,,,,,,,,,,,,,,,,,
