,Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
128,James D. Halsell Jr.,1990,13,Retired,29-09-1956,"Monroe, LA",Male,US Air Force Academy; Troy State University; U...,Engineering,Business Management; Space Operations,Colonel,US Air Force (Retired),5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (...",NaN,NaN
129,James D. van Hoften,1978,8,Retired,11/6/44,"Fresno, CA",Male,University of California-Berkeley; Colorado St...,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,Colonel,US Air Force (Retired),2,338,4,22,"STS 41-C (Challenger), STS 51-I (Discovery)",NaN,NaN
130,James D. Wetherbee,1984,10,Retired,27-11-1952,"Flushing, NY",Male,University of Notre Dame,Aerospace Engineering,Hydraulic Engineering; Fluid Mechanics,Captain,US Navy (Retired),6,1594,0,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (...",NaN,NaN
131,James F. Buchli,1978,8,Retired,20-06-1945,"New Rockford, ND",Male,US Naval Academy; University of West Florida,Aeronautical Engineering,Aeronautical Engineering Systems,Colonel,US Marine Corps (Retired),4,490,0,0,"STS 51-C (Discovery), STS 61-A (Challenger), S...",NaN,NaN
132,James F. Reilly II,1995,15,Retired,18-03-1954,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,Geosciences,Geosciences,Colonel,US Marine Corps (Retired),3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117...",NaN,NaN
133,James H. Newman,1990,13,Retired,16-10-1956,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,Colonel,US Marine Corps (Retired),4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 ...",NaN,NaN
134,James M. Kelly,1996,16,Management,14-05-1964,"Burlington, IA",Male,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)",NaN,NaN
135,James P. Bagian,1980,9,Retired,22-02-1952,"Philadelphia, PA",Male,Drexel University; Thomas Jefferson University,Mechanical Engineering,Medicine,Colonel,US Air Force (Retired),2,337,0,0,"STS-29 (Discovery), STS-40 (Columbia)",NaN,NaN
136,James P. Dutton Jr.,2004,19,Management,20-11-1968,"Eugene, OR",Male,US Air Force Academy; University of Washington,Astronautical Engineering,Aeronautics & Astronautics,Colonel,US Air Force,1,362,0,0,STS-131 (Discovery),NaN,NaN
137,James S. Voss,1987,12,Retired,3/3/49,"Cordova, AL",Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 ...",NaN,NaN
138,Janet L. Kavandi,1995,15,Management,17-07-1959,"Springfield, MO",Female,Missouri Southern State College; University of...,Chemistry,Chemistry,Colonel,US Army (Retired),3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104...",NaN,NaN
139,Janice E. Voss,1990,13,Deceased,8/10/56,"South Bend, IN",Female,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronau...,Colonel,US Army (Retired),5,1179,0,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 ...",6/2/12,Natural causes
140,Jay Clark Buckey,1990,13,Retired,6/6/56,"New York, NY",Male,Cornell University,Electrical Engineering,Medicine,Colonel,US Army (Retired),1,381,0,0,STS-90 (Columbia),NaN,NaN
141,Jeanette J. Epps,2009,20,Active,3/11/70,"Syracuse, NY",Female,LeMoyne College; University of Maryland,Physics,Aerospace Engineering,Colonel,US Army (Retired),0,0,0,0,STS-90 (Columbia),NaN,NaN
142,Jeffrey A. Hoffman,1978,8,Retired,2/11/44,"Brooklyn, NY",Male,Amherst College; Rice University; Harvard Univ...,Astronomy,Materials Science; Astrophysics,Colonel,US Army (Retired),5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-4...",NaN,NaN
143,Jeffrey N. Williams,1996,16,Active,18-01-1958,"Superior, WI",Male,US Military Academy; US Naval Postgraduate Sch...,Applied Science & Engineering,Aeronautical Engineering; National Security & ...,Colonel,US Army (Retired),4,12818,5,32,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 ...",NaN,NaN
144,Jeffrey S. Ashby,1995,15,Retired,1/6/54,"Dallas, TX",Male,University of Idaho; University of Tennessee,Mechanical Engineering,Aviation Systems,Captain,US Navy (Retired),3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112...",NaN,NaN
145,Jerome Apt III,1985,11,Retired,18-04-1949,"Springfield, MA",Male,Harvard University; MIT,Physics,Physics,Captain,US Navy (Retired),4,847,2,11,"STS-37 (Atlantis), STS-47 (Endeavor), STS-59 (...",NaN,NaN
146,Jerry L. Ross,1980,9,Retired,20-01-1948,"Crown Point, IN",Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (A...",NaN,NaN
